time_ax,theoretical_vx
0.525657999999999959,0.658275998297223941
0.529657999999999962,0.66326644422265435
0.533653999999999962,0.668246909256233868
0.537661500000000014,0.673266050245735492
0.54168649999999996,0.678290181681162507
0.555749000000000049,0.708355123158917799
0.569733000000000045,0.713183379591771582
0.574891999999999959,0.721227978423565341
0.580886499999999972,0.728140993641767764
0.585656999999999983,0.733131439567198173
0.589656999999999987,0.738121885492628582
0.603656999999999999,0.768064561045210814
0.61765749999999997,0.773056254582122571
0.621658000000000044,0.77804670050755298
0.625659500000000035,0.783040889267427431
0.629658999999999969,0.788026344746932339
0.633665499999999993,0.793038000067545656
0.647711499999999996,0.823074246481229732
0.661777500000000019,0.828135806261097396
0.665737000000000023,0.832954081802100399
0.669668000000000041,0.837944527727530808
0.673663000000000012,0.842922497538147519
0.677657500000000024,0.84791169585209647
0.691656999999999966,0.877854371404678702
0.705657500000000049,0.882846064941590458
0.709659999999999958,0.887841501312946257
0.713659999999999961,0.892826956792451165
0.717658000000000018,0.897817402717881574
0.721658000000000022,0.902807848643311983
0.725655500000000009,0.907792056511335543
0.740887999999999991,0.940816332422870882
0.756966000000000028,0.947910251305870144
0.761738499999999985,0.952724784012429105
0.765668000000000015,0.957715229937859513
0.769662500000000027,0.962691952136994988
0.773707000000000034,0.967807159210561041
0.839708499999999969,1.12738041051064086
0.905658999999999992,1.13236836121310835
0.909657999999999967,1.13735880713853876
0.913657500000000011,1.14234800545248794
0.917657500000000015,1.14733969898939958
0.921659499999999965,1.15233388774927392
0.935665999999999998,1.18228903941666985
0.949685000000000001,1.18731441846357821
0.953724999999999934,1.19236974018603914
0.957788499999999932,1.19745375697257117
0.961746999999999908,1.20224708028394711
0.965662499999999979,1.20722380248308259
0.969656999999999991,1.212214248408513
0.983657000000000004,1.24215692396109523
0.997657500000000086,1.24714861749800709
1.00165799999999994,1.25213906342343728
1.0056655000000001,1.25714822352108824
1.010961,1.2653525166224957
1.01695249999999993,1.27209835190219622
1.031663,1.30205849401551754
1.04568400000000006,1.3070838730624259
1.04972449999999995,1.31214044239636829
1.053782,1.31720824023364247
1.05774049999999997,1.32201778249427626
1.06166800000000006,1.32700822841970667
1.07566899999999999,1.35695339919525138
1.08966750000000001,1.36193760706327516
1.09366150000000006,1.3669193197083358
1.09765800000000002,1.37190976563376621
1.10165800000000003,1.37690021155919662
1.10571099999999989,1.38202290430165076
1.12171900000000013,1.41684374074634123
1.13767200000000002,1.42182919622584603
1.14168400000000014,1.42685457527275461
1.14572399999999996,1.43190989699521554
1.14978150000000001,1.4369789424439714
1.15374100000000013,1.44178973231608643
1.15766849999999999,1.44677893063003515
1.17166199999999998,1.47670663484484121
1.18566250000000006,1.48171329971952925
1.19095200000000001,1.48990511670612302
1.19694600000000007,1.49666966615804387
1.20165750000000005,1.50166135969495551
1.20565949999999988,1.5066555484548303
1.219665,1.53660820489926309
1.23381799999999986,1.54197043904613817
1.23785400000000001,1.54667892477678159
1.24174899999999999,1.55168933248591379
1.24570850000000011,1.55655876009765248
1.24966400000000011,1.56155918691493367
1.26566750000000017,1.59649106078146485
1.28166750000000018,1.6014827543183765
1.285663,1.60646072412899321
1.28966849999999988,1.61147736989553225
1.29371049999999999,1.61654641534428811
