time_px,theoretical_px
0.479672749999999981,0.147470278859524156
0.483664250000000018,0.149886210669893966
0.48765799999999998,0.152329677717916501
0.491657750000000004,0.154792796126125731
0.500657249999999943,0.163658994759685511
0.514657249999999955,0.172770376032985035
0.523657749999999922,0.175393827024710708
0.52765799999999996,0.178036911909750462
0.531655999999999906,0.180697275590001288
0.535657749999999933,0.183385332182603389
0.539673999999999987,0.186105339099356226
0.548717750000000004,0.1958551888990131
0.562741000000000047,0.205794586110245925
0.572312500000000002,0.209494650208246425
0.57788924999999991,0.213838771359769253
0.583271749999999978,0.217324271431080934
0.587656999999999985,0.220266778081200598
0.596656999999999993,0.230810083206965472
0.61065725000000004,0.241598314196560693
0.619657750000000007,0.244700907882478863
0.623658750000000039,0.24782425387772114
0.627659250000000002,0.250965995578941281
0.631662249999999981,0.254133262727690878
0.640688499999999994,0.265483219035202944
0.654744500000000063,0.277096179336139725
0.663757249999999965,0.280384722042032852
0.667702500000000088,0.28366887325906337
0.671665500000000026,0.287026405142031538
0.675660249999999962,0.290403423734780231
0.684657249999999995,0.302483354764060797
0.698657250000000007,0.314808697993593845
0.707658750000000003,0.318352286485560632
0.711659999999999959,0.321913623401771432
0.715659000000000045,0.325493121476432612
0.71965800000000002,0.329094371979154976
0.72365674999999996,0.332713308539582808
0.73327175,0.346792772181802933
0.748927000000000009,0.361976245188398327
0.759352250000000062,0.366511635541426573
0.763703250000000056,0.370265172558835454
0.767665250000000077,0.374100705803234457
0.77168475000000003,0.378004657631157037
0.806707749999999946,0.447147418822633924
0.87268374999999998,0.521663199507417463
0.907658499999999924,0.526201518980536576
0.911657750000000044,0.530760362679015496
0.915657500000000013,0.535339738087899253
0.919658499999999934,0.539941384934963242
0.928662749999999981,0.556291332949638173
0.9426755,0.572901068387649759
0.951705000000000023,0.577708030388121907
0.955756749999999933,0.58256355427847395
0.95976774999999992,0.587313162160613911
0.963704749999999999,0.59203030378135113
0.96765974999999993,0.596862526428494355
0.976656999999999997,0.614043124635081594
0.990657250000000045,0.631468885751680808
0.999657750000000012,0.636468085935443795
1.00366175000000002,0.641496070336659119
1.00831325000000005,0.648175021671374196
1.01395674999999996,0.655776590110756952
1.02430774999999996,0.674710157251693365
1.03867350000000003,0.69300154981609341
1.04770425,0.698293037739398881
1.05175324999999997,0.703627328879284586
1.05576124999999998,0.708851016984768822
1.05970425000000001,0.714053041813701217
1.06866850000000002,0.732842115187819609
1.08266825,0.751872313063374653
1.09166450000000004,0.757321840346137587
1.09565975000000004,0.762794705565922437
1.09965800000000002,0.76829232552030835
1.10368449999999996,0.773883283214600204
1.11371500000000001,0.79628541184156465
1.12969549999999996,0.818928086523323162
1.13967799999999997,0.824642546168949497
1.14370400000000005,0.830417250402930573
1.14775274999999999,0.836237508635942928
1.15176125000000007,0.841936750919799359
1.15570474999999995,0.84760917763165966
1.1646652500000001,0.868064075261895995
1.17866224999999991,0.88877375440883033
1.18830725000000004,0.896632942215672024
1.19394899999999993,0.905583706839915958
1.19930175000000006,0.912647025154069147
1.20365849999999996,0.918666667287276639
1.21266224999999994,0.939977882536077169
1.22674149999999993,0.961763444309956639
1.23583599999999993,0.96799633872615154
1.2398015,0.974030410907170574
1.24372875000000005,0.980183965068463059
1.24768625000000011,0.986350822838167218
1.25766575000000014,1.01162075140767205
1.27366750000000017,1.03720454192847078
1.28366525000000009,1.04361321101253868
1.28766574999999994,1.05005793653034618
1.29168949999999993,1.05658177260031594
1.29570524999999992,1.06304073016780931
1.29967899999999981,1.0694682343613171
1.30868474999999984,1.09253650080253051
1.32271325000000006,1.11576734834565805
1.33176650000000008,1.12259494742451271
1.335839,1.12934142260663739
1.33980575000000002,1.13585559278887671
1.34372950000000002,1.14249725768248123
1.35328975000000007,1.16824359660061794
1.36887375000000011,1.19573392081734498
